system:index,date,rainfall_mm,.geo
19810101,1981-01-01,0.024594403194397593,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810102,1981-01-02,6.611460239984228E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810103,1981-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810104,1981-01-04,0.34353015513650764,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810105,1981-01-05,0.002129617138984561,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810106,1981-01-06,0.0012871278578729627,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810107,1981-01-07,1.503340128372268E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810108,1981-01-08,0.17621563642877644,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810109,1981-01-09,0.0033300031502992372,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810110,1981-01-10,0.04673870794476038,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810111,1981-01-11,0.05402121117005533,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810112,1981-01-12,0.020105058240355776,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810113,1981-01-13,0.10158694149314808,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810114,1981-01-14,0.15289566413384023,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810115,1981-01-15,0.1478500122657266,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810116,1981-01-16,0.023843196393813344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810117,1981-01-17,0.055009397163309624,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810118,1981-01-18,0.04637039682730599,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810119,1981-01-19,0.03997881377427289,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810120,1981-01-20,1.9493455681696866E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810121,1981-01-21,0.03193026962587415,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810122,1981-01-22,0.11531546627314422,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810123,1981-01-23,0.1995010311464343,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810124,1981-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810125,1981-01-25,2.919303036206225E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810126,1981-01-26,0.7684587506733894,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810127,1981-01-27,0.6288410495889576,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810128,1981-01-28,0.1125064230409855,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810129,1981-01-29,0.034405008477431026,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810130,1981-01-30,0.02056975187592528,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810131,1981-01-31,0.18138679438790334,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810201,1981-02-01,0.02215619866430005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810202,1981-02-02,0.3768184142745834,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810203,1981-02-03,0.32963113830429563,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810204,1981-02-04,0.2519472686055734,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810205,1981-02-05,0.0907945416952689,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810206,1981-02-06,0.06299894811802628,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810207,1981-02-07,0.1121694726937252,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810208,1981-02-08,0.30476736086085965,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810209,1981-02-09,0.08059498084089226,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810210,1981-02-10,0.2591983076803611,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810211,1981-02-11,0.4769955310746555,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810212,1981-02-12,0.14895592811388195,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810213,1981-02-13,0.6159847335553309,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810214,1981-02-14,0.13827627715790222,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810215,1981-02-15,1.201147060972316,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810216,1981-02-16,0.5865456585804337,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810217,1981-02-17,0.30436481703135543,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810218,1981-02-18,0.5684026514781656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810219,1981-02-19,1.2231652900504804,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810220,1981-02-20,3.9525771508857166,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810221,1981-02-21,0.6000147294091557,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810222,1981-02-22,1.4804444284558285,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810223,1981-02-23,0.6444513005310006,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810224,1981-02-24,0.7602293859612764,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810225,1981-02-25,0.22961166381627743,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810226,1981-02-26,0.1585996531672615,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810227,1981-02-27,0.5565027356100494,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810228,1981-02-28,0.3012711462813286,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810301,1981-03-01,0.20633004544616168,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810302,1981-03-02,0.5656298151907089,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810303,1981-03-03,1.0433775697511802,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810304,1981-03-04,4.281981219025423,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810305,1981-03-05,2.144689344413304,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810306,1981-03-06,4.130597457335608,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810307,1981-03-07,3.625369640846083,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810308,1981-03-08,0.8822747074647697,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810309,1981-03-09,3.4975281765526938,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810310,1981-03-10,2.8668441440649084,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810311,1981-03-11,8.50646544591222,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810312,1981-03-12,5.996290785886625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810313,1981-03-13,3.1594622492773854,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810314,1981-03-14,2.160707632285836,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810315,1981-03-15,5.522711463134886,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810316,1981-03-16,2.4193201579296995,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810317,1981-03-17,0.4455526375710844,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810318,1981-03-18,2.01079142466012,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810319,1981-03-19,6.087939349539102,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810320,1981-03-20,5.313077241732792,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810321,1981-03-21,4.287488232723168,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810322,1981-03-22,1.1574886246071923,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810323,1981-03-23,1.0065221318159245,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810324,1981-03-24,1.9569269198255417,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810325,1981-03-25,2.436564070319113,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810326,1981-03-26,3.922854185984655,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810327,1981-03-27,6.094360581354378,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810328,1981-03-28,3.027492033323397,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810329,1981-03-29,3.988413175964518,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810330,1981-03-30,0.7283263612788008,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810331,1981-03-31,0.5813606302178396,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810401,1981-04-01,1.895687626025326,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810402,1981-04-02,2.198137961366945,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810403,1981-04-03,0.8043070057695197,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810404,1981-04-04,0.6462463523859989,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810405,1981-04-05,0.8461744015403805,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810406,1981-04-06,1.3965977624488772,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810407,1981-04-07,1.734078502752122,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810408,1981-04-08,1.6926914685934884,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810409,1981-04-09,1.6447428103258344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810410,1981-04-10,0.5230825952513197,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810411,1981-04-11,1.1987474766611008,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810412,1981-04-12,0.5061881144257515,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810413,1981-04-13,0.12085102964399465,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810414,1981-04-14,0.1613660283310512,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810415,1981-04-15,0.4658576714069593,"{""type"":""MultiPoint"",""coordinates"":[]}"
