# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531450
# River:                 WHITE VOLTA
# Station:               NAWUNI
# Country:               GH
# Latitude (DD):       9.7
# Longitude (DD):      -1.08
# Catchment area (km²):      92950.0
# Altitude (m ASL):        96.0
# Next downstream station:      1531700
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953 - 2007
# No. of years:          55
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 646
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1953-05-01;--:--;     24.000;   -999.000;   0
1953-06-01;--:--;    543.000;   -999.000;   0
1953-07-01;--:--;    431.000;   -999.000;   0
1953-08-01;--:--;    979.000;   -999.000;   0
1953-09-01;--:--;   1420.000;   -999.000;   0
1953-10-01;--:--;    696.000;   -999.000;   0
1953-11-01;--:--;    103.000;   -999.000;   0
1953-12-01;--:--;     16.000;   -999.000;   0
1954-01-01;--:--;      6.000;   -999.000;   0
1954-02-01;--:--;      3.000;   -999.000;   0
1954-03-01;--:--;      1.000;   -999.000;   0
1954-04-01;--:--;      1.000;   -999.000;   0
1954-05-01;--:--;     25.000;   -999.000;   0
1954-06-01;--:--;    108.000;   -999.000;   0
1954-07-01;--:--;    130.000;   -999.000;   0
1954-08-01;--:--;    403.000;   -999.000;   0
1954-09-01;--:--;   1290.000;   -999.000;   0
1954-10-01;--:--;    825.000;   -999.000;   0
1954-11-01;--:--;     85.000;   -999.000;   0
1954-12-01;--:--;     12.000;   -999.000;   0
1955-01-01;--:--;      4.000;   -999.000;   0
1955-02-01;--:--;      2.000;   -999.000;   0
1955-03-01;--:--;      1.000;   -999.000;   0
1955-04-01;--:--;      1.000;   -999.000;   0
1955-05-01;--:--;      2.000;   -999.000;   0
1955-06-01;--:--;     33.000;   -999.000;   0
1955-07-01;--:--;    176.000;   -999.000;   0
1955-08-01;--:--;    882.000;   -999.000;   0
1955-09-01;--:--;   1420.000;   -999.000;   0
1955-10-01;--:--;   1270.000;   -999.000;   0
1955-11-01;--:--;    118.000;   -999.000;   0
1955-12-01;--:--;     25.000;   -999.000;   0
1956-01-01;--:--;      8.000;   -999.000;   0
1956-02-01;--:--;      4.000;   -999.000;   0
1956-03-01;--:--;      2.000;   -999.000;   0
1956-04-01;--:--;      2.000;   -999.000;   0
1956-05-01;--:--;      6.000;   -999.000;   0
1956-06-01;--:--;     25.000;   -999.000;   0
1956-07-01;--:--;     70.000;   -999.000;   0
1956-08-01;--:--;    260.000;   -999.000;   0
1956-09-01;--:--;   1400.000;   -999.000;   0
1956-10-01;--:--;    728.000;   -999.000;   0
1956-11-01;--:--;     56.000;   -999.000;   0
1956-12-01;--:--;     11.000;   -999.000;   0
1957-01-01;--:--;      4.000;   -999.000;   0
1957-02-01;--:--;      2.000;   -999.000;   0
1957-03-01;--:--;      1.000;   -999.000;   0
1957-04-01;--:--;      2.000;   -999.000;   0
1957-05-01;--:--;     66.000;   -999.000;   0
1957-06-01;--:--;    255.000;   -999.000;   0
1957-07-01;--:--;    339.000;   -999.000;   0
1957-08-01;--:--;    985.000;   -999.000;   0
1957-09-01;--:--;   1600.000;   -999.000;   0
1957-10-01;--:--;    973.000;   -999.000;   0
1957-11-01;--:--;    123.000;   -999.000;   0
1957-12-01;--:--;     23.000;   -999.000;   0
1958-01-01;--:--;      7.000;   -999.000;   0
1958-02-01;--:--;      4.000;   -999.000;   0
1958-03-01;--:--;      3.000;   -999.000;   0
1958-04-01;--:--;      2.000;   -999.000;   0
1958-05-01;--:--;      4.000;   -999.000;   0
1958-06-01;--:--;     46.000;   -999.000;   0
1958-07-01;--:--;     35.000;   -999.000;   0
1958-08-01;--:--;    299.000;   -999.000;   0
1958-09-01;--:--;    979.000;   -999.000;   0
1958-10-01;--:--;    246.000;   -999.000;   0
1958-11-01;--:--;     39.000;   -999.000;   0
1958-12-01;--:--;      8.000;   -999.000;   0
1959-01-01;--:--;      5.000;   -999.000;   0
1959-02-01;--:--;      3.000;   -999.000;   0
1959-03-01;--:--;      2.000;   -999.000;   0
1959-04-01;--:--;      3.000;   -999.000;   0
1959-05-01;--:--;      2.000;   -999.000;   0
1959-06-01;--:--;     62.000;   -999.000;   0
1959-07-01;--:--;    110.000;   -999.000;   0
1959-08-01;--:--;    449.000;   -999.000;   0
1959-09-01;--:--;   1390.000;   -999.000;   0
1959-10-01;--:--;    615.000;   -999.000;   0
1959-11-01;--:--;     36.000;   -999.000;   0
1959-12-01;--:--;     11.000;   -999.000;   0
1960-01-01;--:--;      6.000;   -999.000;   0
1960-02-01;--:--;      3.000;   -999.000;   0
