# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531550
# River:                 WHITE VOLTA
# Station:               PWALAGU
# Country:               GH
# Latitude (DD):       10.5833
# Longitude (DD):      -0.85
# Catchment area (km²):      63350.0
# Altitude (m ASL):        123.0
# Next downstream station:      1531450
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951 - 2007
# No. of years:          57
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 670
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1951-05-01;--:--;      2.000;   -999.000;   0
1951-06-01;--:--;     11.000;   -999.000;   0
1951-07-01;--:--;     26.000;   -999.000;   0
1951-08-01;--:--;    455.000;   -999.000;   0
1951-09-01;--:--;    560.000;   -999.000;   0
1951-10-01;--:--;    341.000;   -999.000;   0
1951-11-01;--:--;     41.000;   -999.000;   0
1951-12-01;--:--;      5.000;   -999.000;   0
1952-01-01;--:--;      0.000;   -999.000;   0
1952-02-01;--:--;      0.000;   -999.000;   0
1952-03-01;--:--;      0.000;   -999.000;   0
1952-04-01;--:--;      0.000;   -999.000;   0
1952-05-01;--:--;      3.000;   -999.000;   0
1952-06-01;--:--;     20.000;   -999.000;   0
1952-07-01;--:--;     60.000;   -999.000;   0
1952-08-01;--:--;    292.000;   -999.000;   0
1952-09-01;--:--;    860.000;   -999.000;   0
1952-10-01;--:--;    274.000;   -999.000;   0
1952-11-01;--:--;      9.000;   -999.000;   0
1952-12-01;--:--;      1.000;   -999.000;   0
1953-01-01;--:--;      0.000;   -999.000;   0
1953-02-01;--:--;      0.000;   -999.000;   0
1953-03-01;--:--;      0.000;   -999.000;   0
1953-04-01;--:--;      0.000;   -999.000;   0
1953-05-01;--:--;     33.000;   -999.000;   0
