# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531600
# River:                 WHITE VOLTA
# Station:               YARUGU
# Country:               GH
# Latitude (DD):       10.98
# Longitude (DD):      -0.4
# Catchment area (km²):      41550.0
# Altitude (m ASL):        170.0
# Next downstream station:      1531550
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 2007
# No. of years:          42
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 492
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-03-01;--:--;      1.000;   -999.000;   0
1966-04-01;--:--;      3.000;   -999.000;   0
1966-05-01;--:--;     31.000;   -999.000;   0
1966-06-01;--:--;     57.000;   -999.000;   0
1966-07-01;--:--;     32.000;   -999.000;   0
1966-08-01;--:--;    150.000;   -999.000;   0
1966-09-01;--:--;    181.000;   -999.000;   0
1966-10-01;--:--;     53.000;   -999.000;   0
1966-11-01;--:--;      1.000;   -999.000;   0
1966-12-01;--:--;      0.000;   -999.000;   0
1967-01-01;--:--;      0.000;   -999.000;   0
1967-02-01;--:--;      0.000;   -999.000;   0
1967-03-01;--:--;      0.000;   -999.000;   0
1967-04-01;--:--;      1.000;   -999.000;   0
1967-05-01;--:--;      5.000;   -999.000;   0
1967-06-01;--:--;      5.000;   -999.000;   0
1967-07-01;--:--;     56.000;   -999.000;   0
1967-08-01;--:--;    556.000;   -999.000;   0
1967-09-01;--:--;    518.000;   -999.000;   0
1967-10-01;--:--;     93.000;   -999.000;   0
1967-11-01;--:--;      7.000;   -999.000;   0
1967-12-01;--:--;      1.000;   -999.000;   0
1968-01-01;--:--;      0.000;   -999.000;   0
1968-02-01;--:--;      0.000;   -999.000;   0
1968-03-01;--:--;      1.000;   -999.000;   0
1968-04-01;--:--;      3.000;   -999.000;   0
1968-05-01;--:--;     33.000;   -999.000;   0
1968-06-01;--:--;    116.000;   -999.000;   0
1968-07-01;--:--;    227.000;   -999.000;   0
1968-08-01;--:--;    101.000;   -999.000;   0
1968-09-01;--:--;    125.000;   -999.000;   0
1968-10-01;--:--;     13.000;   -999.000;   0
1968-11-01;--:--;      1.000;   -999.000;   0
1968-12-01;--:--;      2.000;   -999.000;   0
1969-01-01;--:--;      0.000;   -999.000;   0
1969-02-01;--:--;      0.000;   -999.000;   0
1969-03-01;--:--;      0.000;   -999.000;   0
