# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531800
# River:                 OTI
# Station:               SABARI
# Country:               GH
# Latitude (DD):       9.28
# Longitude (DD):      0.23
# Catchment area (km²):      58670.0
# Altitude (m ASL):        82.55
# Next downstream station:      1531700
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 2007
# No. of years:          49
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 573
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-06-01;--:--;     11.000;   -999.000;   0
1959-07-01;--:--;    260.000;   -999.000;   0
1959-08-01;--:--;    475.000;   -999.000;   0
1959-09-01;--:--;   1990.000;   -999.000;   0
1959-10-01;--:--;    959.000;   -999.000;   0
1959-11-01;--:--;     73.000;   -999.000;   0
1959-12-01;--:--;     15.000;   -999.000;   0
1960-01-01;--:--;      6.000;   -999.000;   0
1960-02-01;--:--;      3.000;   -999.000;   0
1960-03-01;--:--;      2.000;   -999.000;   0
1960-04-01;--:--;      4.000;   -999.000;   0
1960-05-01;--:--;      8.000;   -999.000;   0
1960-06-01;--:--;     37.000;   -999.000;   0
1960-07-01;--:--;    235.000;   -999.000;   0
1960-08-01;--:--;    475.000;   -999.000;   0
1960-09-01;--:--;   1850.000;   -999.000;   0
1960-10-01;--:--;   1900.000;   -999.000;   0
1960-11-01;--:--;    113.000;   -999.000;   0
1960-12-01;--:--;     22.000;   -999.000;   0
1961-01-01;--:--;      9.000;   -999.000;   0
1961-02-01;--:--;      4.000;   -999.000;   0
1961-03-01;--:--;      2.000;   -999.000;   0
1961-04-01;--:--;      3.000;   -999.000;   0
1961-05-01;--:--;      9.000;   -999.000;   0
1961-06-01;--:--;     48.000;   -999.000;   0
1961-07-01;--:--;    361.000;   -999.000;   0
1961-08-01;--:--;    481.000;   -999.000;   0
1961-09-01;--:--;   1070.000;   -999.000;   0
1961-10-01;--:--;    504.000;   -999.000;   0
1961-11-01;--:--;     30.000;   -999.000;   0
1961-12-01;--:--;      8.000;   -999.000;   0
1962-01-01;--:--;      4.000;   -999.000;   0
1962-02-01;--:--;      2.000;   -999.000;   0
1962-03-01;--:--;      1.000;   -999.000;   0
1962-04-01;--:--;      2.000;   -999.000;   0
1962-05-01;--:--;     10.000;   -999.000;   0
1962-06-01;--:--;    160.000;   -999.000;   0
1962-07-01;--:--;    362.000;   -999.000;   0
1962-08-01;--:--;   1180.000;   -999.000;   0
1962-09-01;--:--;   3040.000;   -999.000;   0
1962-10-01;--:--;   1670.000;   -999.000;   0
1962-11-01;--:--;    160.000;   -999.000;   0
1962-12-01;--:--;     40.000;   -999.000;   0
1963-01-01;--:--;     13.000;   -999.000;   0
1963-02-01;--:--;      7.000;   -999.000;   0
1963-03-01;--:--;      6.000;   -999.000;   0
1963-04-01;--:--;      5.000;   -999.000;   0
1963-05-01;--:--;     21.000;   -999.000;   0
1963-06-01;--:--;     12.000;   -999.000;   0
1963-07-01;--:--;    593.000;   -999.000;   0
1963-08-01;--:--;   1580.000;   -999.000;   0
1963-09-01;--:--;   2810.000;   -999.000;   0
